"seqname","accession","tax_id","species_name","is_type"
"GCF_000762265.1_Methanobacterium_formicicum_strain_BRM9","","2162","",""
"GCF_000016525.1_Methanobrevibacter_smithii_ATCC_35061_strain_ATCC_35061__PS__DSMZ_861","","420247","",""
"GCF_002813085.1_Methanobrevibacter_smithii_strain_KB11","","2173","",""
"GCF_000025865.1_Methanohalophilus_mahii_DSM_5219_strain_DSM_5219","","547558","",""
"GCF_001889405.1_Methanohalophilus_halophilus_strain_Z-7982","","2177","",""
"GCF_000166095.1_Methanothermus_fervidus_DSM_2088_strain_DSM_2088","","523846","",""
"GCF_000017165.1_Methanococcus_vannielii_SB_strain_SB","","406327","",""
"GCF_000006175.1_Methanococcus_voltae_A3_strain_A3","","456320","",""
"GCF_000214415.1_Methanotorris_igneus_Kol_5_strain_Kol_5","","880724","",""
"GCF_000091665.1_Methanocaldococcus_jannaschii_DSM_2661_strain_DSM_2661","","243232","",""
"GCF_000015825.1_Methanoculleus_marisnigri_JR1_strain_JR1","","368407","",""
"GCF_000013445.1_Methanospirillum_hungatei_JF-1_strain_JF-1","","323259","",""
"GCF_000195895.1_Methanosarcina_barkeri_str._Fusaro_strain_Fusaro","","269797","",""
"GCF_000970025.1_Methanosarcina_barkeri_MS_strain_MS","","1434108","",""
"GCF_000970065.1_Methanosarcina_barkeri_227_strain_227","","1434106","",""
"GCF_000970305.1_Methanosarcina_barkeri_3_strain_3","","1434107","",""
"GCF_000007065.1_Methanosarcina_mazei_Go1_strain_Go1","","192952","",""
"GCF_000970165.1_Methanosarcina_mazei_WWM610_strain_WWM610","","1434117","",""
"GCF_000969885.1_Methanosarcina_thermophila_TM-1_strain_TM-1","","523844","",""
"GCF_000969905.1_Methanosarcina_vacuolata_Z-761_strain_Z-761","","1434123","",""
"GCF_000204415.1_Methanothrix_soehngenii_GP6_strain_GP6","","990316","",""
"GCF_000970325.1_Methanococcoides_methylutens_MM1_strain_MM1","","1434104","",""
"GCF_000008665.1_Archaeoglobus_fulgidus_DSM_4304_strain_DSM_4304","","224325","",""
"GCF_000734035.1_Archaeoglobus_fulgidus_DSM_8774_strain_DSM_8774","","1344584","",""
"GCF_000011085.1_Haloarcula_marismortui_ATCC_43049_strain_ATCC_43049","","272569","",""
"GCF_000006805.1_Halobacterium_salinarum_NRC-1_strain_NRC-1__ATCC_700922","","64091","",""
"GCF_000025685.1_Haloferax_volcanii_DS2_strain_DS2","","309800","",""
"GCF_000022205.1_Halorubrum_lacusprofundi_ATCC_49239_strain_ATCC_49239","","416348","",""
"GCF_000306765.2_Haloferax_mediterranei_ATCC_33500_strain_CGMCC_1.2087","","523841","",""
"GCF_000026045.1_Natronomonas_pharaonis_DSM_2160_strain_Gabara","","348780","",""
"GCF_000007305.1_Pyrococcus_furiosus_DSM_3638_strain_DSM_3638","","186497","",""
"GCF_002214365.1_Thermococcus_celer_Vu_13___JCM_8558_strain_Vu_13","","1293037","",""
"GCF_000246985.2_Thermococcus_litoralis_DSM_5473_strain_DSM_5473","","523849","",""
"GCF_000015225.1_Thermofilum_pendens_Hrk_5_strain_Hrk_5","","368408","",""
"GCF_000253055.1_Thermoproteus_tenax_Kra_1_strain_Kra_1","","768679","",""
"GCF_000186365.1_Desulfurococcus_mucosus_DSM_2162_strain_DSM_2162","","765177","",""
"GCF_000015205.1_Pyrobaculum_islandicum_DSM_4184_strain_DSM_4184","","384616","",""
"GCF_000015945.1_Staphylothermus_marinus_F1_strain_F1","","399550","",""
"GCF_000012285.1_Sulfolobus_acidocaldarius_DSM_639_strain_DSM_639","","330779","",""
"GCF_000007005.1_Saccharolobus_solfataricus_P2_strain_P2","","273057","",""
"GCF_000024745.1_Saccharolobus_solfataricus_98/2_strain_98/2","","555311","",""
"GCF_000195915.1_Thermoplasma_acidophilum_DSM_1728_strain_DSM_1728","","273075","",""
"GCF_000012545.1_Methanosphaera_stadtmanae_DSM_3091_strain_DSM_3091","","339860","",""
"GCF_000007185.1_Methanopyrus_kandleri_AV19_strain_AV19","","190192","",""
"GCF_000196655.1_Methanohalobium_evestigatum_Z-7303_strain_Z-7303","","644295","",""
"GCF_000025625.1_Natrialba_magadii_ATCC_43099_strain_ATCC_43099","","547559","",""
"GCF_000007225.1_Pyrobaculum_aerophilum_str._IM2_strain_IM2","","178306","",""
"GCF_002355655.1_Halorubrum_trapanicum_strain_CBA1232","","29284","",""
"GCF_000328685.1_Natronococcus_occultus_SP4_strain_SP4","","694430","",""
"GCF_000013725.1_Methanococcoides_burtonii_DSM_6242_strain_DSM_6242","","259564","",""
"GCF_000195935.2_Pyrococcus_abyssi_GE5","","272844","",""
"GCF_001190965.1_Haloferax_gibbonsii_strain_ARA6","","35746","",""
"GCF_000970085.1_Methanosarcina_siciliae_T4/M_strain_T4/M","","1434120","",""
"GCF_000970145.1_Methanosarcina_siciliae_C2J_strain_C2J","","1434118","",""
"GCF_000011585.1_Methanococcus_maripaludis_S2_strain_S2","","267377","",""
"GCF_000016125.1_Methanococcus_maripaludis_C5_strain_C5","","402880","",""
"GCF_000017225.1_Methanococcus_maripaludis_C7_strain_C7","","426368","",""
"GCF_000018485.1_Methanococcus_maripaludis_C6_strain_C6","","444158","",""
"GCF_002945325.1_Methanococcus_maripaludis_strain_DSM_2067","","39152","",""
"GCF_000217995.1_Methanosalsum_zhilinae_DSM_4017_strain_DSM_4017","","679901","",""
"GCF_003201835.1_Acidianus_brierleyi_strain_DSM_1651","","41673","",""
"GCF_000017185.1_Methanococcus_aeolicus_Nankai-3_strain_Nankai-3","","419665","",""
"GCF_000022385.1_Sulfolobus_islandicus_L.S.2.15_strain_L.S.2.15","","429572","",""
