"tax_id","parent_id","rank","tax_name","root","root_","superkingdom","superkingdom_","superkingdom__","phylum","phylum_","phylum__","class","class_","order","order_","order__","family","family_","genus","species","species_"
"1","1","root","root","1","","","","","","","","","","","","","","","","",""
"131567","1","root_","cellular organisms","1","131567","","","","","","","","","","","","","","","",""
"2157","131567","superkingdom","Archaea","1","131567","2157","","","","","","","","","","","","","","",""
"28890","2157","phylum","Euryarchaeota","1","131567","2157","","","28890","","","","","","","","","","","",""
"183968","28890","class","Thermococci","1","131567","2157","","","28890","","","183968","","","","","","","","",""
"2258","183968","order","Thermococcales","1","131567","2157","","","28890","","","183968","","2258","","","","","","",""
"2259","2258","family","Thermococcaceae","1","131567","2157","","","28890","","","183968","","2258","","","2259","","","",""
"2260","2259","genus","Pyrococcus","1","131567","2157","","","28890","","","183968","","2258","","","2259","","2260","",""
"1008460","2260","species","Pyrococcus yayanosii","1","131567","2157","","","28890","","","183968","","2258","","","2259","","2260","1008460",""
"529709","1008460","species_","Pyrococcus yayanosii CH1","1","131567","2157","","","28890","","","183968","","2258","","","2259","","2260","1008460","529709"
"1183377","2260","species","Pyrococcus sp. ST04","1","131567","2157","","","28890","","","183968","","2258","","","2259","","2260","1183377",""
"1609559","2260","species","Pyrococcus kukulkanii","1","131567","2157","","","28890","","","183968","","2258","","","2259","","2260","1609559",""
"2261","2260","species","Pyrococcus furiosus","1","131567","2157","","","28890","","","183968","","2258","","","2259","","2260","2261",""
"186497","2261","species_","Pyrococcus furiosus DSM 3638","1","131567","2157","","","28890","","","183968","","2258","","","2259","","2260","2261","186497"
"29292","2260","species","Pyrococcus abyssi","1","131567","2157","","","28890","","","183968","","2258","","","2259","","2260","29292",""
"272844","29292","species_","Pyrococcus abyssi GE5","1","131567","2157","","","28890","","","183968","","2258","","","2259","","2260","29292","272844"
"342949","2260","species","Pyrococcus sp. NA2","1","131567","2157","","","28890","","","183968","","2258","","","2259","","2260","342949",""
"2263","2259","genus","Thermococcus","1","131567","2157","","","28890","","","183968","","2258","","","2259","","2263","",""
"1042877","2263","species","Thermococcus sp. 4557","1","131567","2157","","","28890","","","183968","","2258","","","2259","","2263","1042877",""
