,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,nec_terminal,branch_length
4,3.0,1.0,1826.0,2317748.0,30.2825687734496,0.7573321063771898,2.0,102.0,256.5,0.0846244
8,2.0,1.0,1686.5,1829352.5,31.093106229926445,0.7726376160802839,2.0,108.0,131.0,0.00825803
11,2.0,1.0,2115.5,2408417.0,33.02950039601766,0.7953895551564808,2.0,102.5,0.0,0.0178562
12,2.0,1.0,1901.0,2118884.75,32.06130331297205,0.7840135856183824,4.0,105.25,65.5,0.0577873
15,2.0,1.0,1956.0,2569197.5,29.786401130582725,0.8339696600147894,2.0,109.0,184.0,0.0279323
16,2.0,1.0,1919.3333333333333,2268989.0,31.30300258550894,0.8006656104171848,6.0,106.5,105.0,0.0112439
17,2.142857142857143,1.0,1883.2857142857142,2230303.285714286,30.979515708617953,0.7963340935774791,7.0,106.0,90.28571428571429,0.0496383
18,2.3333333333333335,1.0,1870.5555555555557,2249735.4444444445,30.824638611913876,0.7876669853107481,9.0,105.11111111111111,127.22222222222223,0.0377417
23,2.0,1.5,1745.5,1741197.5,49.44579869279817,0.8996380800131221,2.0,101.0,114.0,0.00458412
24,2.0,1.6666666666666667,1730.6666666666667,1707176.6666666667,49.177417455068166,0.8966560364393685,3.0,107.0,219.33333333333334,0.00360059
25,2.0,1.5,1711.75,1702105.25,49.104614454133696,0.888204424856625,4.0,104.5,165.0,0.0256747
30,1.0,1.0,1961.5,1903510.5,42.399038793731805,0.9125981711695715,2.0,113.0,146.0,0.00179133
31,1.0,1.0,2073.6666666666665,2007397.6666666667,42.62841698456176,0.9133349742471738,3.0,110.0,97.66666666666667,0.0109069
37,1.0,1.5,1893.0,1814941.0,43.72583460459882,0.843031720007978,2.0,111.5,107.5,0.00963659
40,1.0,1.0,1874.0,1812537.0,46.20370141600916,0.8690467700244582,2.0,107.0,125.5,0.00117941
41,1.0,1.25,1883.5,1813739.0,44.96476801030399,0.8560392450162182,4.0,109.25,116.5,0.00596558
42,1.0,1.2,1919.6,1846416.4,44.896232983488275,0.8560944373828911,5.0,106.0,93.2,1e-06
43,1.0,1.1666666666666667,1897.8333333333333,1828161.1666666667,44.46241097593586,0.8475911607025036,6.0,105.16666666666667,80.33333333333333,0.00356735
44,1.0,1.1428571428571428,1921.2857142857142,1847278.0,44.52802136042478,0.844210588053528,7.0,104.71428571428571,68.85714285714286,0.0329017
50,1.0,1.5,2156.0,2051260.0,54.14787468462718,0.8691216840969489,2.0,99.0,78.5,0.00122804
52,1.0,1.3333333333333333,2192.0,2086093.3333333333,54.29080612873786,0.8673746575463994,3.0,103.66666666666667,66.33333333333333,0.00486457
