,parent_id,rank,tax_name,root,root_,superkingdom,superkingdom_,superkingdom__,phylum,phylum_,phylum__,class,class_,order,order_,order__,family,family_,genus,species,species_
459,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
457,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
451,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
17,Methanobacteriales,family,Methanobacteriaceae,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,,,
3,Methanobacteriaceae,genus,Methanosphaera,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanosphaera,,
16,Methanobacteriaceae,genus,Methanobrevibacter,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobrevibacter,,
15,Methanobacteriaceae,genus,Methanobrevibacter,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobrevibacter,,
11,Methanobacteriaceae,genus,Methanobrevibacter,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobrevibacter,,
7,Methanobrevibacter,species,Methanobrevibacter smithii,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobrevibacter,Methanobrevibacter smithii,
10,Methanobacteriaceae,genus,Methanobrevibacter,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobrevibacter,,
14,Methanobacteriaceae,genus,Methanobrevibacter,root,cellular organisms,Archaea,,,Euryarchaeota,Methanomada group,,Methanobacteria,,Methanobacteriales,,,Methanobacteriaceae,,Methanobrevibacter,,
450,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
442,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
441,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
189,cellular organisms,superkingdom,Archaea,root,cellular organisms,Archaea,,,,,,,,,,,,,,,
83,Thermococcales,family,Thermococcaceae,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,,,
82,Thermococcales,family,Thermococcaceae,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,,,
24,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
23,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
81,Thermococcales,family,Thermococcaceae,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,,,
67,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
63,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
47,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
45,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
44,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
36,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
35,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
34,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
33,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
31,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
43,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
39,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
42,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
62,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
58,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
56,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
54,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
52,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
51,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
61,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
66,Thermococcaceae,genus,Thermococcus,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,Thermococcus,,
80,Thermococcales,family,Thermococcaceae,root,cellular organisms,Archaea,,,Euryarchaeota,,,Thermococci,,Thermococcales,,,Thermococcaceae,,,,
