"tax_id","parent_id","rank","tax_name","root","root_","superkingdom","superkingdom_","superkingdom__","superkingdom___","superkingdom____","superkingdom_____","phylum","phylum_","phylum__","subphylum","class","class_","class__","subclass","order","order_","order__","suborder","family","family_","family__","family___","subfamily","tribe","genus","genus_","subgenus","species_group","species_subgroup","species","species_","species__","species___","subspecies","subspecies_","subspecies__","subspecies___"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131567","1","root_","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","131567","superkingdom","Bacteria <bacteria>","1","131567","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","2","","","","","","1224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1236","1224","class","Gammaproteobacteria","1","131567","2","","","","","","1224","","","","1236","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118969","1236","order","Legionellales","1","131567","2","","","","","","1224","","","","1236","","","","118969","","","","","","","","","","","","","","","","","","","","","",""
"118968","118969","family","Coxiellaceae","1","131567","2","","","","","","1224","","","","1236","","","","118969","","","","118968","","","","","","","","","","","","","","","","","",""
"254245","118968","genus","Aquicella","1","131567","2","","","","","","1224","","","","1236","","","","118969","","","","118968","","","","","","254245","","","","","","","","","","","",""
"254246","254245","species","Aquicella lusitana","1","131567","2","","","","","","1224","","","","1236","","","","118969","","","","118968","","","","","","254245","","","","","254246","","","","","","",""
"254247","254245","species","Aquicella siphonis","1","131567","2","","","","","","1224","","","","1236","","","","118969","","","","118968","","","","","","254245","","","","","254247","","","","","","",""
"59195","118968","genus","Rickettsiella","1","131567","2","","","","","","1224","","","","1236","","","","118969","","","","118968","","","","","","59195","","","","","","","","","","","",""
"676208","59195","species","Candidatus Rickettsiella viridis","1","131567","2","","","","","","1224","","","","1236","","","","118969","","","","118968","","","","","","59195","","","","","676208","","","","","","",""
"776","118968","genus","Coxiella <g-proteobacteria>","1","131567","2","","","","","","1224","","","","1236","","","","118969","","","","118968","","","","","","776","","","","","","","","","","","",""
