,no rank,superkingdom,genus,species,order,phylum,class,family,strain,forma specialis,clade,subphylum,suborder,subspecies,species group,species subgroup,subfamily,subgenus,serogroup,serotype,biotype,tribe,subclass,isolate,pathogroup
438753,cellular organisms,Bacteria,Azorhizobium,Azorhizobium caulinodans,Rhizobiales,Proteobacteria,Alphaproteobacteria,Xanthobacteraceae,Azorhizobium caulinodans ORS 571,,,,,,,,,,,,,,,,
198804,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,Buchnera aphidicola str. Sg (Schizaphis graminum),Buchnera aphidicola (Schizaphis graminum),,,,,,,,,,,,,,,
224915,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,Buchnera aphidicola str. Bp (Baizongia pistaciae),Buchnera aphidicola (Baizongia pistaciae),,,,,,,,,,,,,,,
107806,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,Buchnera aphidicola str. APS (Acyrthosiphon pisum),Buchnera aphidicola (Acyrthosiphon pisum),,,,,,,,,,,,,,,
372461,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,Buchnera aphidicola BCc,Buchnera aphidicola (Cinara cedri),,,,,,,,,,,,,,,
713601,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,Buchnera aphidicola str. JF99 (Acyrthosiphon pisum),Buchnera aphidicola (Acyrthosiphon pisum),,,,,,,,,,,,,,,
1005090,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,Buchnera aphidicola str. Ak (Acyrthosiphon kondoi),Buchnera aphidicola (Acyrthosiphon kondoi),,,,,,,,,,,,,,,
1005057,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,Buchnera aphidicola str. Ua (Uroleucon ambrosiae),Buchnera aphidicola (Uroleucon ambrosiae),,,,,,,,,,,,,,,
1009856,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,Buchnera aphidicola str. USDA (Myzus persicae),Buchnera aphidicola (Myzus persicae),,,,,,,,,,,,,,,
1265350,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Aphis glycines),,,,,,,,,,,,,,,
118110,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Schlechtendalia chinensis),,,,,,,,,,,,,,,
118101,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Diuraphis noxia),,,,,,,,,,,,,,,
2173854,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Melanaphis sacchari),,,,,,,,,,,,,,,
118109,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Rhopalosiphum maidis),,,,,,,,,,,,,,,
1241884,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Therioaphis trifolii),,,,,,,,,,,,,,,
1241869,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Muscaphis stroyani),,,,,,,,,,,,,,,
2315801,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Macrosiphum gaurae),,,,,,,,,,,,,,,
1241859,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Hyadaphis tataricae),,,,,,,,,,,,,,,
466616,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Aphis craccivora),,,,,,,,,,,,,,,
571428,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Sitobion avenae),,,,,,,,,,,,,,,
2315802,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Aphis helianthi),,,,,,,,,,,,,,,
1507522,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Macrosiphum euphorbiae),,,,,,,,,,,,,,,
2495405,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Nipponaphis monzeni),,,,,,,,,,,,,,,
118118,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Uroleucon sonchi),,,,,,,,,,,,,,,
98785,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Aphis gossypii),,,,,,,,,,,,,,,
98804,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Tuberolachnus salignus),,,,,,,,,,,,,,,
655384,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Cinara pseudotaxifoliae),,,,,,,,,,,,,,,
9,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,,,,,,,,,,,,,,,,
1878935,cellular organisms,Bacteria,Buchnera,Buchnera aphidicola,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,Buchnera aphidicola (Cinara confinis),,,,,,,,,,,,,,,
593907,cellular organisms,Bacteria,Cellulomonas,Cellulomonas gilvus,Micrococcales,Actinobacteria,Actinobacteria,Cellulomonadaceae,Cellulomonas gilvus ATCC 13127,,Terrabacteria group,,,,,,,,,,,,,,
309799,cellular organisms,Bacteria,Dictyoglomus,Dictyoglomus thermophilum,Dictyoglomales,Dictyoglomi,Dictyoglomia,Dictyoglomaceae,Dictyoglomus thermophilum H-6-12,,,,,,,,,,,,,,,,
338963,cellular organisms,Bacteria,Pelobacter,Pelobacter carbinolicus,Desulfuromonadales,Proteobacteria,Deltaproteobacteria,Desulfuromonadaceae,Pelobacter carbinolicus DSM 2380,,,delta/epsilon subdivisions,,,,,,,,,,,,,
319224,cellular organisms,Bacteria,Shewanella,Shewanella putrefaciens,Alteromonadales,Proteobacteria,Gammaproteobacteria,Shewanellaceae,Shewanella putrefaciens CN-32,,,,,,,,,,,,,,,,
399804,cellular organisms,Bacteria,Shewanella,Shewanella putrefaciens,Alteromonadales,Proteobacteria,Gammaproteobacteria,Shewanellaceae,Shewanella putrefaciens 200,,,,,,,,,,,,,,,,
24,cellular organisms,Bacteria,Shewanella,Shewanella putrefaciens,Alteromonadales,Proteobacteria,Gammaproteobacteria,Shewanellaceae,,,,,,,,,,,,,,,,,
246197,cellular organisms,Bacteria,Myxococcus,Myxococcus xanthus,Myxococcales,Proteobacteria,Deltaproteobacteria,Myxococcaceae,Myxococcus xanthus DK 1622,,,delta/epsilon subdivisions,Cystobacterineae,,,,,,,,,,,,
34,cellular organisms,Bacteria,Myxococcus,Myxococcus xanthus,Myxococcales,Proteobacteria,Deltaproteobacteria,Myxococcaceae,,,,delta/epsilon subdivisions,Cystobacterineae,,,,,,,,,,,,
35,cellular organisms,Bacteria,Corallococcus,Corallococcus macrosporus,Myxococcales,Proteobacteria,Deltaproteobacteria,Myxococcaceae,,,,delta/epsilon subdivisions,Cystobacterineae,,,,,,,,,,,,
378806,cellular organisms,Bacteria,Stigmatella,Stigmatella aurantiaca,Myxococcales,Proteobacteria,Deltaproteobacteria,Archangiaceae,Stigmatella aurantiaca DW4/3-1,,,delta/epsilon subdivisions,Cystobacterineae,,,,,,,,,,,,
43,cellular organisms,Bacteria,Cystobacter,Cystobacter fuscus,Myxococcales,Proteobacteria,Deltaproteobacteria,Archangiaceae,,,,delta/epsilon subdivisions,Cystobacterineae,,,,,,,,,,,,
48,cellular organisms,Bacteria,Archangium,Archangium gephyra,Myxococcales,Proteobacteria,Deltaproteobacteria,Archangiaceae,,,,delta/epsilon subdivisions,Cystobacterineae,,,,,,,,,,,,
52,cellular organisms,Bacteria,Chondromyces,Chondromyces crocatus,Myxococcales,Proteobacteria,Deltaproteobacteria,Polyangiaceae,,,,delta/epsilon subdivisions,Sorangiineae,,,,,,,,,,,,
448385,cellular organisms,Bacteria,Sorangium,Sorangium cellulosum,Myxococcales,Proteobacteria,Deltaproteobacteria,Polyangiaceae,Sorangium cellulosum So ce56,,,delta/epsilon subdivisions,Sorangiineae,,,,,,,,,,,,
1254432,cellular organisms,Bacteria,Sorangium,Sorangium cellulosum,Myxococcales,Proteobacteria,Deltaproteobacteria,Polyangiaceae,Sorangium cellulosum So0157-2,,,delta/epsilon subdivisions,Sorangiineae,,,,,,,,,,,,
56,cellular organisms,Bacteria,Sorangium,Sorangium cellulosum,Myxococcales,Proteobacteria,Deltaproteobacteria,Polyangiaceae,,,,delta/epsilon subdivisions,Sorangiineae,,,,,,,,,,,,
63,cellular organisms,Bacteria,Vitreoscilla,Vitreoscilla filiformis,Neisseriales,Proteobacteria,Betaproteobacteria,Neisseriaceae,,,,,,,,,,,,,,,,,
69,cellular organisms,Bacteria,Lysobacter,Lysobacter enzymogenes,Xanthomonadales,Proteobacteria,Gammaproteobacteria,Xanthomonadaceae,,,,,,,,,,,,,,,,,
641147,cellular organisms,Bacteria,Simonsiella,Simonsiella muelleri,Neisseriales,Proteobacteria,Betaproteobacteria,Neisseriaceae,Simonsiella muelleri ATCC 29453,,,,,,,,,,,,,,,,
94,cellular organisms,Bacteria,Stella,Stella humosa,Rhodospirillales,Proteobacteria,Alphaproteobacteria,Acetobacteraceae,,,,,,,,,,,,,,,,,
880070,cellular organisms,Bacteria,Cyclobacterium,Cyclobacterium marinum,Cytophagales,Bacteroidetes,Cytophagia,Cyclobacteriaceae,Cyclobacterium marinum DSM 745,,FCB group,,,,,,,,,,,,,,
761193,cellular organisms,Bacteria,Runella,Runella slithyformis,Cytophagales,Bacteroidetes,Cytophagia,Cytophagaceae,Runella slithyformis DSM 19594,,FCB group,,,,,,,,,,,,,,
114,cellular organisms,Bacteria,Gemmata,Gemmata obscuriglobus,Gemmatales,Planctomycetes,Planctomycetia,Gemmataceae,,,PVC group,,,,,,,,,,,,,,
756272,cellular organisms,Bacteria,Rubinisphaera,Rubinisphaera brasiliensis,Planctomycetales,Planctomycetes,Planctomycetia,Planctomycetaceae,Rubinisphaera brasiliensis DSM 5305,,PVC group,,,,,,,,,,,,,,
521674,cellular organisms,Bacteria,Planctopirus,Planctopirus limnophila,Planctomycetales,Planctomycetes,Planctomycetia,Planctomycetaceae,Planctopirus limnophila DSM 3776,,PVC group,,,,,,,,,,,,,,
122,cellular organisms,Bacteria,Gimesia,Gimesia maris,Planctomycetales,Planctomycetes,Planctomycetia,Planctomycetaceae,,,PVC group,,,,,,,,,,,,,,
530564,cellular organisms,Bacteria,Pirellula,Pirellula staleyi,Pirellulales,Planctomycetes,Planctomycetia,Pirellulaceae,Pirellula staleyi DSM 6068,,PVC group,,,,,,,,,,,,,,
575540,cellular organisms,Bacteria,Isosphaera,Isosphaera pallida,Isosphaerales,Planctomycetes,Planctomycetia,Isosphaeraceae,Isosphaera pallida ATCC 43644,,PVC group,,,,,,,,,,,,,,
134,cellular organisms,Bacteria,Methylocystis,Methylocystis parvus,Rhizobiales,Proteobacteria,Alphaproteobacteria,Methylocystaceae,,,,,,,,,,,,,,,,,
224326,cellular organisms,Bacteria,Borreliella,Borreliella burgdorferi,Spirochaetales,Spirochaetes,Spirochaetia,Borreliaceae,Borreliella burgdorferi B31,,,,,,,,,,,,,,,,
