,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,nec_terminal,branch_length
6,1.0,2.0,3702.5,3991563.5,62.91943309760264,0.46517039084292494,2.0,197.5,459.5,0.046386
7,1.3333333333333333,2.0,3885.6666666666665,4230366.0,63.00507746825591,0.46801544161771824,3.0,192.33333333333334,306.3333333333333,0.0242104
8,1.75,2.5,4033.75,4468632.75,63.70049989792202,0.4715356070531839,4.0,189.25,233.5,0.0397553
11,2.5,2.0,3805.0,4362023.0,60.033158960961984,0.43999756054092687,2.0,194.5,388.0,0.0503554
14,1.0,1.0,6570.0,7082752.0,61.921058500315254,0.4578459264957738,2.0,214.5,41.0,0.0370677
16,1.0,1.0,5846.333333333333,6250580.333333333,62.025592306330196,0.45896937894418416,3.0,211.33333333333334,52.666666666666664,0.00838404
19,1.0,1.5,7393.0,8305670.5,63.27494829917085,0.43503169775995487,2.0,237.0,86.0,0.0371568
28,1.0,2.5,3666.0,4206807.5,61.833159157612,0.4574485563729578,2.0,203.0,555.5,0.0137804
29,1.0,2.0,3597.3333333333335,4053081.3333333335,62.021932605065274,0.4561534712034823,3.0,203.33333333333334,599.6666666666666,0.01169
33,2.0,1.0,4795.5,5320871.0,65.21141130208873,0.46087328227427615,2.0,205.0,72.0,0.00491846
34,2.0,1.0,4917.0,5461927.666666667,65.09421041006509,0.4606462722866133,3.0,209.0,175.33333333333334,0.0130847
36,2.0,1.0,4896.75,5447475.0,65.18098087235293,0.4587600532966171,4.0,210.5,237.75,0.0200211
37,1.5714285714285714,1.4285714285714286,4339.857142857143,4849877.714285715,63.827103043515365,0.45764294668527367,7.0,207.42857142857142,392.85714285714283,0.00448466
39,1.625,1.375,4816.125,5394566.0,63.806912084155805,0.45560853899036313,8.0,210.25,348.875,1e-06
45,1.5,1.0,4496.0,5112186.5,65.42306468735438,0.4600576877494005,2.0,220.5,570.0,0.0233941
46,1.6666666666666667,1.0,4586.666666666667,5243289.0,65.09626445847748,0.46093893712752454,3.0,219.33333333333334,563.6666666666666,0.014413
47,1.75,1.0,4646.75,5310927.75,65.06149981847364,0.4566695012859149,4.0,221.0,561.0,0.0254793
49,1.6,1.0,5055.0,5695110.4,64.90880503691719,0.45292780274136507,5.0,218.6,453.2,0.00396788
50,1.5,1.0,5282.333333333333,5920011.5,64.86680356418198,0.4507517518582415,6.0,219.16666666666666,393.1666666666667,0.00960718
54,1.0,1.0,7176.5,8077010.5,63.80029197495298,0.44600823578586357,2.0,231.0,96.5,0.00159074
55,1.0,1.0,6921.0,7731174.666666667,63.957298951224004,0.44491227171843284,3.0,226.0,98.33333333333333,1e-06
56,1.3333333333333333,1.0,5828.555555555556,6523732.555555556,64.56363535986264,0.44880525847830527,9.0,221.44444444444446,294.8888888888889,0.00319071
57,1.4705882352941178,1.1764705882352942,5352.117647058823,5992360.05882353,64.20753028894178,0.45200680224868545,17.0,216.1764705882353,320.29411764705884,0.00159518
58,1.5,1.1666666666666667,5564.666666666667,6222709.555555556,64.15782533547264,0.4517910543712198,18.0,217.72222222222223,304.0,1e-06
59,1.4736842105263157,1.1578947368421053,5698.8421052631575,6386883.894736842,64.09372777401637,0.4515498839638875,19.0,219.21052631578948,320.4736842105263,0.00306043
62,1.0,1.0,7623.5,8469663.5,63.81311803029425,0.4382065271014289,2.0,237.0,469.5,0.00141683
66,2.0,1.0,6589.0,7626842.5,65.3515966699789,0.4498595013306121,2.0,264.5,742.5,0.00624252
67,2.0,1.3333333333333333,6852.666666666667,7915732.666666667,65.1697976944069,0.448953309727895,3.0,271.3333333333333,1042.3333333333333,0.00320649
69,2.0,1.25,6888.25,8002840.75,65.1589084768272,0.45531451020764063,4.0,256.25,787.0,0.0180303
70,1.6666666666666667,1.1666666666666667,7133.333333333333,8158448.333333333,64.71031166131621,0.4496118491722367,6.0,249.83333333333334,681.1666666666666,0.0050458
71,1.52,1.16,6043.12,6812059.36,64.24170790696834,0.4510847556138913,25.0,226.56,407.04,0.00495029
72,1.5,1.1923076923076923,6095.653846153846,6865446.346153846,64.22908389961061,0.4508454041725099,26.0,226.96153846153845,415.88461538461536,0.0032251
73,1.4814814814814814,1.2222222222222223,6150.37037037037,6923688.740740741,64.19312469995278,0.4504629375415669,27.0,227.03703703703704,424.48148148148147,0.00656985
74,1.4642857142857142,1.2142857142857142,6185.678571428572,6967700.607142857,64.16279402632951,0.4500226736250125,28.0,227.57142857142858,432.39285714285717,0.0271833
75,1.4333333333333333,1.2333333333333334,6266.166666666667,7056898.6,64.10360431118559,0.4490232752340087,30.0,228.2,409.3,0.093585
76,1.393939393939394,1.2121212121212122,6228.0,6983596.939393939,63.914694128926016,0.44992746648038834,33.0,226.66666666666666,376.8787878787879,0.0557314
82,1.0,1.0,3484.5,3723828.0,60.25662672929502,0.46257736632410185,2.0,168.5,269.0,0.0165477
84,1.0,1.0,3813.3333333333335,4068394.6666666665,59.89476591627269,0.4603866496931181,3.0,183.0,428.6666666666667,0.127848
85,1.0,1.0,3745.25,4043781.5,59.24285168231289,0.47133358889368293,4.0,183.0,361.25,0.0193898
87,1.0,1.0,3645.0,3965792.6,60.17116219740444,0.4774627833230351,5.0,174.8,292.0,0.060688
88,1.1666666666666667,1.0,3621.0,3973905.3333333335,60.51737380781285,0.4778762994068673,6.0,174.5,299.6666666666667,0.0280959
91,1.0,1.0,3026.0,3317468.5,62.96242456809201,0.4921267831647561,2.0,152.0,88.0,0.136031
92,1.125,1.0,3472.25,3809796.125,61.12863649788265,0.4814389203463395,8.0,168.875,246.75,0.0301753
95,2.5,2.5,4661.5,5226936.0,67.78086014626793,0.4740662405280539,2.0,217.0,304.5,0.0507702
