,parent_id,rank,tax_name,root,below_root,superkingdom,below_superkingdom,below_below_superkingdom,below_below_below_superkingdom,below_below_below_below_superkingdom,phylum,below_phylum,below_below_phylum,subphylum,class,below_class,below_below_class,subclass,order,below_order,below_below_order,suborder,family,below_family,below_below_family,below_below_below_family,subfamily,tribe,genus,below_genus,subgenus,species_group,species_subgroup,species,below_species,below_below_species,below_below_below_species,subspecies,below_subspecies,below_below_subspecies,below_below_below_subspecies
12313,131567,superkingdom,Bacteria,root,,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12312,131567,superkingdom,Bacteria,root,,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12308,131567,superkingdom,Bacteria,root,,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,356,family,Methylocystaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Methylocystaceae,,,,,,,,,,,,,,,,,,
7,31993,genus,Methylocystis,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Methylocystis,,,,,,,,,,,,
6,31993,genus,Methylocystis,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Methylocystis,,,,,,,,,,,,
12307,131567,superkingdom,Bacteria,root,,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,356,family,Beijerinckiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Beijerinckiaceae,,,,,,,,,,,,,,,,,,
12306,131567,superkingdom,Bacteria,root,,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
