,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,nec_terminal,branch_length
5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,173.5,1234.5,0.0471313
10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,187.0,2137.5,0.0351088
12,0.0,0.0,0.0,0.0,0.0,0.0,3.0,202.0,2461.0,0.10456
13,0.0,0.0,0.0,0.0,0.0,0.0,4.0,204.75,2176.5,0.0438133
16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,203.5,1408.5,0.146906
17,0.0,0.0,0.0,0.0,0.0,0.0,6.0,204.33333333333334,1920.5,0.00582119
21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,194.0,1658.5,0.00327585
23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,179.0,1467.0,0.063753
24,0.0,0.0,0.0,0.0,0.0,0.0,4.0,195.0,1625.5,0.0178775
29,0.0,0.0,0.0,0.0,0.0,0.0,2.0,210.5,1727.0,0.0382051
31,0.0,0.0,0.0,0.0,0.0,0.0,3.0,208.66666666666666,1952.0,0.0182913
32,0.0,0.0,0.0,0.0,0.0,0.0,4.0,215.0,2208.25,0.046574
33,0.0,0.0,0.0,0.0,0.0,0.0,5.0,218.2,2167.6,0.0937373
34,0.0,0.0,0.0,0.0,0.0,0.0,9.0,207.88888888888889,1926.6666666666667,0.0810083
40,0.0,0.0,0.0,0.0,0.0,0.0,2.0,183.5,1191.0,0.0105801
41,0.0,0.0,0.0,0.0,0.0,0.0,3.0,198.66666666666666,1303.0,0.0074493
42,0.0,0.0,0.0,0.0,0.0,0.0,4.0,202.75,1334.5,0.00373443
44,0.0,0.0,0.0,0.0,0.0,0.0,5.0,206.8,1547.2,0.0115461
45,0.0,0.0,0.0,0.0,0.0,0.0,6.0,211.83333333333334,1690.0,0.01
48,0.0,0.0,0.0,0.0,0.0,0.0,2.0,148.5,895.5,0.0490275
53,0.0,0.0,0.0,0.0,0.0,0.0,2.0,221.0,1440.5,0.0157143
54,0.0,0.0,0.0,0.0,0.0,0.0,3.0,214.0,1374.3333333333333,0.0112451
55,0.0,0.0,0.0,0.0,0.0,0.0,4.0,212.75,1354.25,0.01584
56,0.0,0.0,0.0,0.0,0.0,0.0,6.0,191.33333333333334,1201.3333333333333,0.0144366
57,0.0,0.0,0.0,0.0,0.0,0.0,12.0,201.58333333333334,1445.6666666666667,0.191366
58,0.0,0.0,0.0,0.0,0.0,0.0,21.0,204.28571428571428,1651.8095238095239,0.0160901
62,0.0,0.0,0.0,0.0,0.0,0.0,2.0,243.5,1834.0,0.23311
66,0.0,0.0,0.0,0.0,0.0,0.0,2.0,169.0,1607.5,0.161802
67,0.0,0.0,0.0,0.0,0.0,0.0,3.0,192.0,1768.3333333333333,0.107791
68,0.0,0.0,0.0,0.0,0.0,0.0,5.0,212.6,1794.6,0.197427
71,0.0,0.0,0.0,0.0,0.0,0.0,2.0,230.5,1879.0,0.125883
72,0.0,0.0,0.0,0.0,0.0,0.0,7.0,217.71428571428572,1818.7142857142858,0.0653634
79,0.0,0.0,0.0,0.0,0.0,0.0,2.0,84.5,44.5,0.1079
82,0.0,0.0,0.0,0.0,0.0,0.0,2.0,124.0,1511.0,0.0104464
83,0.0,0.0,0.0,0.0,0.0,0.0,4.0,104.25,777.75,0.015125
84,0.0,0.0,0.0,0.0,0.0,0.0,5.0,139.0,1669.4,0.0449985
86,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.83333333333333,1391.3333333333333,0.0131126
87,0.0,0.0,0.0,0.0,0.0,0.0,7.0,140.71428571428572,2178.5714285714284,0.0198428
88,0.0,0.0,0.0,0.0,0.0,0.0,8.0,151.625,2281.0,0.0321795
91,0.0,0.0,0.0,0.0,0.0,0.0,2.0,205.0,3393.0,0.0608457
92,0.0,0.0,0.0,0.0,0.0,0.0,10.0,162.3,2503.4,0.010173
