,parent_id,rank,tax_name,root,root_,superkingdom,superkingdom_,superkingdom__,superkingdom___,superkingdom____,kingdom,subkingdom,phylum,phylum_,phylum__,subphylum,subphylum_,subphylum__,subphylum___,subphylum____,subphylum_____,subphylum______,subphylum_______,subphylum________,subphylum_________,subphylum__________,subphylum___________,class,class_,subclass,subclass_,order,order_,suborder,superfamily,family,family_,subfamily,tribe,genus,genus_,subgenus,species,species_,species__,varietas,varietas_
708,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Eukaryota,superkingdom_,Stramenopiles,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Eukaryota,superkingdom_,Stramenopiles,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pinguiochrysidales,family,Pinguiochrysidaceae,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Pinguiophyceae,,,,Pinguiochrysidales,,,,Pinguiochrysidaceae,,,,,,,,,,,
30,Stramenopiles,class,Pelagophyceae,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Pelagophyceae,,,,,,,,,,,,,,,,,,,
18,Stramenopiles,class,Pelagophyceae,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Pelagophyceae,,,,,,,,,,,,,,,,,,,
17,Stramenopiles,class,Pelagophyceae,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Pelagophyceae,,,,,,,,,,,,,,,,,,,
16,Stramenopiles,class,Pelagophyceae,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Pelagophyceae,,,,,,,,,,,,,,,,,,,
15,Pelagophyceae,order,Pelagomonadales,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Pelagophyceae,,,,Pelagomonadales,,,,,,,,,,,,,,,
14,Pelagophyceae,order,Pelagomonadales,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Pelagophyceae,,,,Pelagomonadales,,,,,,,,,,,,,,,
29,Stramenopiles,class,Pelagophyceae,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Pelagophyceae,,,,,,,,,,,,,,,,,,,
21,Pelagophyceae,order,Sarcinochrysidales,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Pelagophyceae,,,,Sarcinochrysidales,,,,,,,,,,,,,,,
28,Stramenopiles,class,Pelagophyceae,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Pelagophyceae,,,,,,,,,,,,,,,,,,,
26,Stramenopiles,class,Pelagophyceae,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Pelagophyceae,,,,,,,,,,,,,,,,,,,
25,Stramenopiles,class,Pelagophyceae,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Pelagophyceae,,,,,,,,,,,,,,,,,,,
56,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Stramenopiles,class,Dictyochophyceae,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Dictyochophyceae,,,,,,,,,,,,,,,,,,,
42,Stramenopiles,class,Dictyochophyceae,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Dictyochophyceae,,,,,,,,,,,,,,,,,,,
40,Stramenopiles,class,Dictyochophyceae,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Dictyochophyceae,,,,,,,,,,,,,,,,,,,
39,Dictyochophyceae,order,Pedinellales,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Dictyochophyceae,,,,Pedinellales,,,,,,,,,,,,,,,
38,Dictyochophyceae,order,Pedinellales,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Dictyochophyceae,,,,Pedinellales,,,,,,,,,,,,,,,
36,Dictyochophyceae,order,Pedinellales,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Dictyochophyceae,,,,Pedinellales,,,,,,,,,,,,,,,
47,Florenciellales,genus,Florenciella,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Dictyochophyceae,,,,Florenciellales,,,,,,,,Florenciella,,,,,,,
45,Florenciellales,genus,Florenciella,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,Dictyochophyceae,,,,Florenciellales,,,,,,,,Florenciella,,,,,,,
55,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Stramenopiles,order,Bicosoecida,root,cellular organisms,Eukaryota,Stramenopiles,,,,,,,,,,,,,,,,,,,,,,,,,Bicosoecida,,,,,,,,,,,,,,,
525,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Eukaryota,superkingdom_,Opisthokonta,root,cellular organisms,Eukaryota,Opisthokonta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
