"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","below_below_below_below_superkingdom","kingdom","subkingdom","phylum","below_phylum","below_below_phylum","below_below_below_phylum","below_below_below_below_phylum","below_below_below_below_below_phylum","below_below_below_below_below_below_phylum","below_below_below_below_below_below_below_phylum","below_below_below_below_below_below_below_below_phylum","below_below_below_below_below_below_below_below_below_phylum","below_below_below_below_below_below_below_below_below_below_phylum","subphylum","class","below_class","below_below_class","subclass","below_subclass","order","below_order","suborder","superfamily","family","below_family","subfamily","tribe","genus","below_genus","species","below_species","below_below_species","varietas","below_varietas"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33630","2759","below_superkingdom","Alveolata","1","131567","2759","33630","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"554915","2759","below_superkingdom","Amoebozoa","1","131567","2759","554915","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33682","2759","below_superkingdom","Euglenozoa","1","131567","2759","33682","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2830","2759","below_superkingdom","Haptophyceae","1","131567","2759","2830","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33154","2759","below_superkingdom","Opisthokonta","1","131567","2759","33154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"543769","2759","below_superkingdom","Rhizaria","1","131567","2759","543769","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2763","2759","below_superkingdom","Rhodophyta","1","131567","2759","2763","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33634","2759","below_superkingdom","Stramenopiles","1","131567","2759","33634","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42452","2759","below_superkingdom","unclassified eukaryotes","1","131567","2759","42452","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"136419","543769","below_below_superkingdom","Cercozoa","1","131567","2759","543769","136419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5878","33630","below_below_superkingdom","Ciliophora","1","131567","2759","33630","5878","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"555280","554915","below_below_superkingdom","Discosea","1","131567","2759","554915","555280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29178","543769","below_below_superkingdom","Foraminifera","1","131567","2759","543769","29178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1538618","2830","below_below_superkingdom","Haptophyta incertae sedis","1","131567","2759","2830","1538618","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27997","33630","below_below_superkingdom","Perkinsea","1","131567","2759","33630","27997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"555369","554915","below_below_superkingdom","Tubulinea","1","131567","2759","554915","555369","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1871466","136419","below_below_below_superkingdom","Ascetosporea","1","131567","2759","543769","136419","1871466","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29197","136419","below_below_below_superkingdom","Chlorarachniophyceae","1","131567","2759","543769","136419","29197","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"180229","555369","below_below_below_superkingdom","Euamoebida","1","131567","2759","554915","555369","180229","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1485085","555280","below_below_below_superkingdom","Flabellinia","1","131567","2759","554915","555280","1485085","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"555392","1485085","below_below_below_below_superkingdom","Dactylopodida","1","131567","2759","554915","555280","1485085","555392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"467050","29197","below_below_below_below_superkingdom","unclassified Chlorarachniophyceae","1","131567","2759","543769","136419","29197","467050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4751","33154","kingdom","Fungi","1","131567","2759","33154","","","","4751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33090","2759","kingdom","Viridiplantae","1","131567","2759","","","","","33090","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"451864","4751","subkingdom","Dikarya","1","131567","2759","33154","","","","4751","451864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5794","33630","phylum","Apicomplexa","1","131567","2759","33630","","","","","","5794","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4890","451864","phylum","Ascomycota","1","131567","2759","33154","","","","4751","451864","4890","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2836","33634","phylum","Bacillariophyta","1","131567","2759","33634","","","","","","2836","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5204","451864","phylum","Basidiomycota","1","131567","2759","33154","","","","4751","451864","5204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91989","33634","phylum","Bolidophyceae","1","131567","2759","33634","","","","","","91989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3041","33090","phylum","Chlorophyta","1","131567","2759","","","","","33090","","3041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"877183","33630","phylum","Chromerida","1","131567","2759","33630","","","","","","877183","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3035","33682","phylum","Euglenida","1","131567","2759","33682","","","","","","3035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31291","1871466","phylum","Haplosporidia","1","131567","2759","543769","136419","1871466","","","","31291","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"157124","33634","phylum","Pinguiophyceae","1","131567","2759","33634","","","","","","157124","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35493","33090","phylum","Streptophyta","1","131567","2759","","","","","33090","","35493","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1280412","5794","below_phylum","Conoidasida","1","131567","2759","33630","","","","","","5794","1280412","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131221","35493","below_phylum","Streptophytina","1","131567","2759","","","","","33090","","35493","131221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3152","3041","below_phylum","prasinophytes","1","131567","2759","","","","","33090","","3041","3152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"716545","4890","below_phylum","saccharomyceta","1","131567","2759","33154","","","","4751","451864","4890","716545","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3193","131221","below_below_phylum","Embryophyta","1","131567","2759","","","","","33090","","35493","131221","3193","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1541723","3152","below_below_phylum","prasinophyte clade VII","1","131567","2759","","","","","33090","","3041","3152","1541723","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114040","3152","below_below_phylum","unclassified Prasinophyceae","1","131567","2759","","","","","33090","","3041","3152","114040","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58023","3193","below_below_below_phylum","Tracheophyta","1","131567","2759","","","","","33090","","35493","131221","3193","58023","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1541724","1541723","below_below_below_phylum","unclassified prasinophyte clade VII","1","131567","2759","","","","","33090","","3041","3152","1541723","1541724","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78536","58023","below_below_below_below_phylum","Euphyllophyta","1","131567","2759","","","","","33090","","35493","131221","3193","58023","78536","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58024","78536","below_below_below_below_below_phylum","Spermatophyta","1","131567","2759","","","","","33090","","35493","131221","3193","58023","78536","58024","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3398","58024","below_below_below_below_below_below_phylum","Magnoliophyta","1","131567","2759","","","","","33090","","35493","131221","3193","58023","78536","58024","3398","","","","","","","","","","","","","","","","","","","","","","","","",""
"1437183","3398","below_below_below_below_below_below_below_phylum","Mesangiospermae","1","131567","2759","","","","","33090","","35493","131221","3193","58023","78536","58024","3398","1437183","","","","","","","","","","","","","","","","","","","","","","","",""
