,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,branch_length
2,3.0,1.0,1.0,3724033.0,67.93268206585,0.6102745445185,2,156.5,0.110882
6,1.0,2.5,2.5,4206807.5,61.65180455,0.5883928336055,2,189.0,0.0128365
11,2.0,1.5,1.5,7975050.0,64.15789434365,0.5858957469055,2,290.0,0.00366857
12,2.0,1.3333333333333333,1.3333333333333333,8071421.666666667,64.4806765038,0.5985072326816666,3,264.0,0.0202599
14,1.75,1.25,1.25,8330023.25,64.37535248585,0.59487094115025,4,259.0,0.00553517
17,2.0,1.0,1.0,5574079.0,65.15055044260001,0.5942779452775,2,208.0,0.0223442
18,1.8333333333333333,1.1666666666666667,1.1666666666666667,7411375.166666667,64.63375180476667,0.5946732758593334,6,242.0,0.00759141
19,1.8571428571428572,1.1428571428571428,1.1428571428571428,7667947.857142857,64.4954408853143,0.5925175903059999,7,239.28571428571428,0.00907618
22,1.5,1.0,1.0,5112186.5,65.42306468735,0.5973188288810001,2,215.0,0.02701
24,1.6666666666666667,1.0,1.0,5243289.0,65.09626445846668,0.5983939970276667,3,213.0,0.0145216
26,1.75,1.0,1.0,5310927.75,65.061499818475,0.592848380299,4,213.5,0.027101
28,1.6,1.0,1.0,5695110.4,64.90880503692,0.5888465292403999,5,213.4,0.0122126
29,1.75,1.0833333333333333,1.0833333333333333,6845932.25,64.66767594848334,0.5909879815286666,12,228.5,0.0106695
30,1.6428571428571428,1.2857142857142858,1.2857142857142858,6468914.428571428,64.23683717727143,0.5906172461110714,14,222.85714285714286,0.00767668
31,1.6,1.2666666666666666,1.2666666666666666,6287362.066666666,64.11434666545334,0.5902136461885333,15,221.0,0.18335
34,2.5,2.0,2.0,4362023.0,59.47068762735,0.5654583043925,2,181.5,0.0472322
35,1.7058823529411764,1.3529411764705883,1.3529411764705883,6060851.588235294,63.56803383744118,0.5873012530360588,17,216.35294117647058,0.0318005
41,5.0,2.0,2.0,5825943.0,67.16188759535,0.5967660163549999,2,212.5,0.00707657
42,5.0,2.3333333333333335,2.3333333333333335,5833627.666666667,67.11289233026667,0.6082493863403333,3,209.0,0.0582531
45,5.0,5.0,5.0,6592869.5,67.090879853,0.5865296977059999,2,226.5,0.103235
46,5.0,3.4,3.4,6137324.4,67.10408733936,0.5995615108865999,5,216.0,0.0408885
47,5.333333333333333,4.166666666666667,4.166666666666667,6587607.333333333,66.65361374083334,0.5928139793633332,6,220.66666666666666,0.130367
48,4.857142857142857,3.857142857142857,3.857142857142857,6395625.428571428,66.9642884232143,0.5895637255852858,7,210.71428571428572,0.101725
50,4.375,3.5,3.5,6067852.75,66.51310270385001,0.590793593855625,8,208.0,0.0168954
51,2.56,2.04,2.04,6063091.96,64.510455874692,0.5884188020983199,25,213.68,0.0383162
54,2.0,1.0,1.0,4813621.5,65.28576955220001,0.6330206964855001,2,180.5,0.031855
56,2.0,1.3333333333333333,1.3333333333333333,4525376.666666667,63.1018874689,0.629914996197,3,180.0,0.0827595
60,2.0,1.5,1.5,6445281.0,62.265031114349995,0.601519457934,2,222.5,0.0173863
