sample_name,GenBank BioSample,NCBI SRA,project_id,source_mat_id,latitude,longitude,habitat_name,taxon_id,strain,genus,species,family,depth,sample_collection_site,class,phylum,assembly_accession_number,collection_date,date_of_experiment,day_portion_of_day_night_cycle_in_hours,envo_term_for_habitat_primary_term,growth_medium,investigation_type,light,other_collection_site_info,sample_material,experimental_salinity,experimental_temperature,fastq_file,night_portion_of_day_night_cycle_in_hours,primary_citation,longhurst_province,ph,clonal,envo_term_for_habitat_secondary_term,habitat_description,prey_organism_if_applicable,environmental_salinity,other_experimental_metadata_available,country,axenic,modifications_to_growth_medium,additional_citations,collection_time,other_environmental_metadata_available,environmental_temperature,phosphate,nitrate,iron,trace_elements,pressure,carbon_dioxide,ammonium,pcr_amp,silicate,sample_type,sample_description,collection_start_time,collection_stop_time,site_name,site_description,library_acc,sequencing_method,dna_type,comments,order,superkingdom,combined_assembly_name,external_sample_id,habitat,principle_investigator,sample_volume,volume_unit,filter_min,filter_max,filter_fraction_maximum,filter_fraction_minimum,volume_filtered,urea,chlorophyll,elevation,dissolved_oxygen,particulate_organic_carbon,region,n16S,nge,ncds,genome_size,tax_name,phi,GC,clade,tip_name,npaths_actual,branch_length,nec_actual
MMETSP1325,2740228,SRS616875,104,(MMETSP1325) Florenciella sp. - seawater,-8.333333332999999,-141.25,marine habitat,236786,RCC1007,Florenciella,sp.,Florenciellales,10.0,Pacific Ocean,Dictyochophyceae,Ochrophyta,CAM_ASM_000708,29-OCT-04,15-JAN-12,12.0,Aquatic: marine,K,EU,80.0,Marquises islands,seawater,35.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP132/MMETSP1325.fastq.tar,12.0,"Le Gall, F., Rigaut-Jalabert, F., Marie, D., Garczareck, L., Viprey, M., Godet, A. and Vaulot, D. (2008) Picoplankton diversity in the South-East Pacific Ocean from cultures. Biogeosciences 5: 203-214",SPSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1325|Florenciella-sp-RCC1007,,,22.0,@MMETSP1325_Florenciella-sp-RCC1007,149.0,0.0035091,1084.0
MMETSP0166,2740428,SRS618878,104,(MMETSP0166) Vannella robusta - Marine sediment,-35.98833,-49.0175,marine habitat,95228,DIVA3 518/3/11/1/6,Vannella,robusta,Vannellidae,,Atlantic_Ocean,Unknown,Unknown,CAM_ASM_000260,,04-JUL-11,,Acquatic: marine,seawater with wheat grains,EU,,Expedition DIVA3,Marine sediment,35.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP016/MMETSP0166.fastq.tar,,"Kudryavtsev A, Pawlowski J, Hausmann K (2011) A survey of lobose amoebae (Amoebozoa) from the atlantic deep-sea sediments, in preparation",SATL,7.5,1,Sediment,"abyssal plain bottom sediment, clay, aerobic",bacteria,35.0,RNA isolated from encysted (inactive) cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP0166|Vannella-robusta-DIVA3518-3-11-1-6,,,285.0,@MMETSP0166_Vannella-robusta-DIVA3518-3-11-1-6,0.0,0.598111,0.0
MMETSP0693,2740362,SRS626644,104,(MMETSP0693) Thalassionema nitzschioides - Seawater,41.325,-70.5667,marine habitat,33649,,Thalassionema,nitzschioides,Thalassionemataceae,,Atlantic_Ocean,Fragilariophyceae,Bacillariophyta,CAM_ASM_000626,01-APR-11,04-NOV-11,14.0,Acquatic: marine,f/2 amended seawater,EU,90.0,Martha's Vineyard Coastal Observatory site,Seawater,32.0,7.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP069/MMETSP0693.fastq.tar,10.0,,NWCS,6.5,1,,mesotrophic coastal surface waters,,,non-axenic monoculture,US,1,f/2 for all nutrients,"Round, F. E., R. M. Crawford, and D. G. Mann (1990), The Diatoms, 747 pp., Cambridge Univ. Press, Cambridge., Tomas, Carmelo R. 1997. Identifying Marine Phytoplankton . Academic Press, San Diego, California.",,,,40.0,840.0,10000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP0693|Thalassionema-nitzschioides,,,559.0,@MMETSP0693_Thalassionema-nitzschioides,97.0,1e-06,499.0
MMETSP0053,2740395,SRS618900,104,(MMETSP0053) Prorocentrum minimum,40.66,-73.25,,39449,CCMP1329,Prorocentrum,minimum,Prorocentraceae,,,Dinophyceae,Dinophyta,CAM_ASM_000195,,30-SEP-11,14.0,,L1,EU,100.0,,,32.0,18.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP005/MMETSP0053.fastq.tar,10.0,,,8.3,,,,,,,,1,16N:1P,,,,,36.0,571.0,,1000.0,1.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP0053|Prorocentrum-minimum-CCMP1329,,,132.0,@MMETSP0053_Prorocentrum-minimum-CCMP1329,233.0,0.0308657,4739.0
MMETSP0205,2740072,SRS618899,104,(MMETSP0205) Euplotes focardii - seawater and sediment trap material,,,marine habitat,36767,TN1,Euplotes,focardii,Euplotidae,,Terra Nova Bay,Spirotrichea,Ciliophora,CAM_ASM_000278,01-JAN-88,09-MAY-11,12.0,Acquatic: marine,Cells were grown in natural sea water collected in Adriatic Sea. Twice per week 50ml of the algae Dunaliella tertiolecta grown in Walne's medium (http://www.ccap.ac.uk/media/recipes/Walnes.htm) were added to each one-liter cell cultures,EU,,,seawater and sediment trap material,35.0,4.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP020/MMETSP0205.fastq.tar,12.0,"Pucciarelli, S, La Terza, A, , Ballarini, P., Barchetta, S, Yu, T, Marziale, F, Passini, V, Methé, Detrich, HW III, Miceli, C. 2009. Molecular cold-adaptation of protein function and gene regulation: the case for comparative genomic analyses in marine ci",,8.0,1,Sediment,,,,,AQ,,,###############################################################################################################################################################################################################################################################,,,,50.0,300.0,,750.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP0205|Euplotes-focardii-TN1,,,189.0,@MMETSP0205_Euplotes-focardii-TN1,100.0,0.100101,912.0
MMETSP1354,2740208,SRS621534,104,(MMETSP1354) Erythrolobus madagascarensis,43.6002,-23.1667,marine habitat,708628,CCMP3276,Erythrolobus,madagascarensis,Porphyridiaceae,,Indian_Ocean,Bangiophyceae,Rhodophyta,CAM_ASM_000846,23-APR-03,15-FEB-12,13.0,,L1,EU,," 23.1667S 43.6002E Angeva,Madagascar",,32.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP135/MMETSP1354.fastq.tar,11.0,"EC Yang, JL Scott et JA West",NADR,8.0,,,from a culture of Sphacelaria sp. obtained on Sargassum sp.,,,,,,added 200 ul of 500 mol NH4Cl per liter,,,,,36.2,882.0,,118471.2,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1354|Erythrolobus-madagascarensis-CCMP3276,,,219.0,@MMETSP1354_Erythrolobus-madagascarensis-CCMP3276,162.0,0.165761,989.0
MMETSP1162,2740577,SRS621471,104,(MMETSP1162) Phaeocystis Sp,23.5643,58.853,marine habitat,33656,CCMP2710,Phaeocystis,Sp,Phaeocystacear,,Arabian Sea,Prymnesiophyceae,Haptophyta,CAM_ASM_000774,,15-FEB-12,13.0,,L1,EU,," 23.5643N 58.8530E Gulf of Oman, Arabian Sea, Station OM-3",,32.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP116/MMETSP1162.fastq.tar,11.0,,ARAB,8.0,,,,,,,,,added 200 ul of 500 mol NH4Cl per liter,,,,,36.2,882.0,,12871.2,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1162|Phaeocystis-sp-CCMP2710,,,231.0,@MMETSP1162_Phaeocystis-sp-CCMP2710,145.0,0.017298,1257.0
MMETSP1464,2740020,SRS621596,104,(MMETSP1464) Exanthemachrysis gayraliae - Seawater,,,marine habitat,119497,RCC1523,Exanthemachrysis,gayraliae,Pavlovaceae,10.0,,Haptophyceae,Haptophyta,CAM_ASM_001124,01-JAN-70,25-AUG-13,13.0,Acquatic: marine,L1 amended seawater,EU,100.0,,Seawater,33.0,24.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP146/MMETSP1464.fastq.tar,11.0,"Lepailleur, H. (1970). Sur un nouveau genre de Chrysophycées: Exanthemachrysis nov. gen. (E. gayralii nov. sp.). Comptes Rendus Hebdomadaires des Séances de l'Academie des Sciences, Paris 270: 928-931.",,8.2,1,,,,30.0,,,,,"El Mahdi Bendifa, Ian Probert, Annie Hervéc, Chantal Billard, Didier Goux, Christophe Lelong, Jean-Paul Cadoret, and Benoît Véron. Integrative Taxonomy of the Pavlovophyceae (Haptophyta): A Reassessment.  Protist, Vol. 162, 738–761, 2011.",,,20.0,36.2,882.0,11.7,12871.2,1.0,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1464|Exanthemachrysis-gayraliae-RCC1523,,,261.0,@MMETSP1464_Exanthemachrysis-gayraliae-RCC1523,229.0,0.0878179,1639.0
MMETSP1474,2740230,SRS621627,104,(MMETSP1474) Imantonia sp. - Seawater,-31.35,-78.1,marine habitat,97495,RCC918,Imantonia,sp.,Prymnesiaceae,10.0,Pacific_Ocean,Prymnesiophyceae,Haptophyta,CAM_ASM_001110,01-NOV-04,25-AUG-13,13.0,Acquatic: marine,L1 amended seawater,EU,100.0,Biosope cruise station STB20,Seawater,33.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP147/MMETSP1474.fastq.tar,11.0,"Picoplankton diversity in the South-East Pacific Ocean from cultures.F. Le Gall, F. Rigaut-Jalabert, D. Marie, L. Garczarek, M. Viprey, A. Gobet, and D. Vaulot. Biogeosciences, 5, 203–214, 2008",SPSG,8.2,1,,,,30.0,,CL,,,,,,20.0,36.2,882.0,11.7,12871.2,1.0,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1474|Imantonia-sp-RCC918,,,254.0,@MMETSP1474_Imantonia-sp-RCC918,244.0,0.0934713,1893.0
MMETSP1171,2740579,SRS616869,104,(MMETSP1171) Helicotheca tamensis,30.0,-60.0,marine habitat,374046,CCMP826,Helicotheca,tamensis,Lithodesmiaceae,,Sargasso Sea,Mediophyceae,Bacillariophyta,CAM_ASM_000706,,19-JAN-12,13.0,,L1,EU,, 30.0000N 60.0000W Sargasso Sea (very approx.),,32.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP117/MMETSP1171.fastq.tar,11.0,(Shrubsole) Ricard,NASW,8.0,,,,,,,,,added 200 ul of 500 mol NH4Cl per liter,,,,,36.2,882.0,,12871.2,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMETSP1171|Helicotheca-tamensis-CCMP826,,,515.0,@MMETSP1171_Helicotheca-tamensis-CCMP826,194.0,0.105484,1111.0
