# assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,n16S,nge,ncds,genome_size,tax_name,phi,GC,clade,tip_name,npaths_actual,branch_length,nec_actual
GCF_000762265.1,PRJNA224116,SAMN03085433,,representative genome,2162,2162,Methanobacterium formicicum,strain=BRM9,,latest,Complete Genome,Major,Full,2014/10/02,ASM76226v1,PGgRc,GCA_000762265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/762/265/GCF_000762265.1_ASM76226v1,,,2.0,1.0,2328.0,2449987.0,GCF_000762265.1_Methanobacterium formicicum_strain=BRM9,0.809318822372,41.339525475,1.0,@GCF_000762265.1_Methanobacterium_formicicum_strain_BRM9,114.0,0.00647745,86.0
GCF_000953115.1,PRJNA224116,SAMEA2724982,,na,2162,2162,Methanobacterium formicicum,,,latest,Complete Genome,Major,Full,2014/09/10,DSM1535,CEBITEC,GCA_000953115.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/115/GCF_000953115.1_DSM1535,,,2.0,1.0,2346.0,2478074.0,,,41.2305282247,,,,,
GCF_001458655.1,PRJNA224116,SAMEA2779801,,na,2162,2162,Methanobacterium formicicum,,Mb9,latest,Complete Genome,Major,Full,2015/11/16,Mb9,CEBITEC,GCA_001458655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/458/655/GCF_001458655.1_Mb9,,,2.0,1.0,2331.0,2494510.0,,,41.1437115907,,,,,
GCF_000016525.1,PRJNA224116,SAMN02604313,,representative genome,420247,2173,Methanobrevibacter smithii ATCC 35061,strain=ATCC 35061; PS; DSMZ 861,,latest,Complete Genome,Major,Full,2007/06/04,ASM1652v1,Washington University Center for Genome Sciences,GCA_000016525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/525/GCF_000016525.1_ASM1652v1,,assembly from type material,2.0,1.0,1699.0,1853160.0,GCF_000016525.1_Methanobrevibacter smithii ATCC 35061_strain=ATCC 35061; PS; DSMZ 861,0.776049170296,31.0342334175,18.0,@GCF_000016525.1_Methanobrevibacter_smithii_ATCC_35061_strain_ATCC_35061__PS__DSMZ_861,117.0,1e-06,232.0
GCF_002813085.1,PRJNA224116,SAMN05935551,,na,2173,2173,Methanobrevibacter smithii,strain=KB11,,latest,Complete Genome,Major,Full,2017/12/06,ASM281308v1,KRIBB,GCA_002813085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/085/GCF_002813085.1_ASM281308v1,,,2.0,1.0,1674.0,1805545.0,GCF_002813085.1_Methanobrevibacter smithii_strain=KB11,0.776248690402,31.1519790423,19.0,@GCF_002813085.1_Methanobrevibacter_smithii_strain_KB11,99.0,0.00106715,30.0
GCF_000025865.1,PRJNA224116,SAMN02598474,,representative genome,547558,2176,Methanohalophilus mahii DSM 5219,strain=DSM 5219,,latest,Complete Genome,Major,Full,2010/03/31,ASM2586v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000025865.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/865/GCF_000025865.1_ASM2586v1,,assembly from type material,3.0,1.0,1954.0,2012424.0,GCF_000025865.1_Methanohalophilus mahii DSM 5219_strain=DSM 5219,0.610700853143,42.6182057062,188.0,@GCF_000025865.1_Methanohalophilus_mahii_DSM_5219_strain_DSM_5219,122.0,1e-06,414.0
GCF_001889405.1,PRJNA224116,SAMN05756399,,representative genome,2177,2177,Methanohalophilus halophilus,strain=Z-7982,,latest,Complete Genome,Major,Full,2016/12/06,ASM188940v1,UBO,GCA_001889405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/889/405/GCF_001889405.1_ASM188940v1,,assembly from type material,2.0,1.0,1986.0,2022959.0,GCF_001889405.1_Methanohalophilus halophilus_strain=Z-7982,0.599373842811,42.4004144424,187.0,@GCF_001889405.1_Methanohalophilus_halophilus_strain_Z-7982,96.0,0.00331787,3.0
GCF_000166095.1,PRJNA224116,SAMN02232040,,representative genome,523846,2180,Methanothermus fervidus DSM 2088,strain=DSM 2088,,latest,Complete Genome,Major,Full,2010/11/05,ASM16609v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000166095.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/095/GCF_000166095.1_ASM16609v1,,assembly from type material,2.0,1.0,1296.0,1243342.0,GCF_000166095.1_Methanothermus fervidus DSM 2088_strain=DSM 2088,1.0,31.6369912703,37.0,@GCF_000166095.1_Methanothermus_fervidus_DSM_2088_strain_DSM_2088,109.0,0.0900226,322.0
GCF_000017165.1,PRJNA224116,SAMN02598403,,representative genome,406327,2187,Methanococcus vannielii SB,strain=SB,,latest,Complete Genome,Major,Full,2007/06/29,ASM1716v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000017165.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/165/GCF_000017165.1_ASM1716v1,,assembly from type material,4.0,1.0,1662.0,1720048.0,GCF_000017165.1_Methanococcus vannielii SB_strain=SB,0.705397182738,31.328311768,238.0,@GCF_000017165.1_Methanococcus_vannielii_SB_strain_SB,106.0,0.0383658,285.0
GCF_000006175.1,PRJNA224116,SAMN00000040,,representative genome,456320,2188,Methanococcus voltae A3,strain=A3,,latest,Complete Genome,Major,Full,2010/06/03,ASM617v2,US DOE Joint Genome Institute (JGI-PGF),GCA_000006175.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/175/GCF_000006175.1_ASM617v2,,,2.0,1.0,1632.0,1936387.0,GCF_000006175.1_Methanococcus voltae A3_strain=A3,0.690356903846,28.5945939526,239.0,@GCF_000006175.1_Methanococcus_voltae_A3_strain_A3,98.0,0.0767347,196.0
